komentar;kategori;
alhamdulillah masih ada manusia berhati mulia di zaman sekarang semoga sehat dan sukses selalu;tidak cyberbullying;
bokap punya kjl sama kpdj dana nya di bagi dua  aku bersyukur alhamdulillah pemerintah masih peduli  ;tidak cyberbullying;
allah huakbar;tidak cyberbullying;
alhamdulillah berarti kjl bapak saya sudah bisa dicairkan terima kasih banyak pak sangat membantu di masa pandemi seperti ini untuk kebutuhan sehari hari bapak saya;tidak cyberbullying;
alhamdulillah sangat membantu;tidak cyberbullying;
aman nyaman bahagia semoga kami tertular kesuksesan bos raffi dan ibu maju terus rans entertainment ;tidak cyberbullying;
ambeien mas;tidak cyberbullying;
amin berkah berkah;tidak cyberbullying;
amin pak sehat selalu;tidak cyberbullying;
amin ya allah sehat selalu ya bapak;tidak cyberbullying;
amit amit menebar sensasi tanpa prestasi sudah memiliki kodrat yang hakiki dari allah swt tapi malah membelokkan kodrat sekarang jati diri sudah terungkap selamat menikmati hidup yang di awali  kebohongan akan berujung dengan ketidak baikan semoga segera di beri hidayah;tidak cyberbullying;
anak ganteng selamat pagi sehat terus ya;tidak cyberbullying;
anda;tidak cyberbullying;
anda mengajarkan pada kami bekerja ikhlas tanpa menyalahkan orang lain;tidak cyberbullying;
anda yang msudah kebakar dengan komentar haters bisa belajar dengan kekeyi;tidak cyberbullying;
angin aku mencoba untuk menysudahi nya tapi sangat susah;tidak cyberbullying;
angin badai lewat terus sahabat;tidak cyberbullying;
angin nya kayak di gunung fuji;tidak cyberbullying;
angin nya kenceng amat;tidak cyberbullying;
anginnya mantap;tidak cyberbullying;
anies adalah putra terbaik bangsa indonesia yang sangat pantas untuk duduk di kursi republik indonesia semoga allah swt merestuinya kami mencintai gubernur jakarta;tidak cyberbullying;
anies baswedan untuk presiden indonesia;tidak cyberbullying;
aniesbaswedan bapak saya juga sampai sekarang belum dapat kartu lansia jakarta padahal usianya sudah tahun sedangkan tetangga sekitar yang usianya baru pas tahun sudah menerima bantuan kartu lansia bahkan sudah pada cair;tidak cyberbullying;
aniesbaswedan kalo mau buat kartu lansia untuk ibu saya caranya gimana;tidak cyberbullying;
aniesbaswedan sehat selalu ya pak ;tidak cyberbullying;
anis itu pernah tinggal di amerika dan kuliah di sana jadi anis tahu gimana kelola jakarta seperti amerika hukumnya dan kesejahteraan warganya tuhan selalu memberkati;tidak cyberbullying;
anjay bikin video ini kayak tahu tempatnya pernah kesana juga;tidak cyberbullying;
anjay dalam dua minggu juta penonton gila tidak tu;tidak cyberbullying;
anjay kucing nya namanya dakocan ;tidak cyberbullying;
anjay sudah juta hebat njir;tidak cyberbullying;
anjir lagu nya bikin semangat push rank lagi;tidak cyberbullying;
anjir tembus juta dong;tidak cyberbullying;
apa cuma aku doang yang kesini kesini karena ingin lihat komentar negatif nya;tidak cyberbullying;
apa cuma aku yang buka video nya klik unlike klik report sama lihat komenan nya;tidak cyberbullying;
apa cuma aku yang kesini gara gara dengar lagu nya di tiktok;tidak cyberbullying;
apa cuma aku yang nyari liriknya;tidak cyberbullying;
apa cuma aku yang tidak subcribe;tidak cyberbullying;
apa cuman aku yang heran kenapa musuhnya aneh semua;tidak cyberbullying;
apa cuman aku yang kesini ingin lihat yang baju biru karena cantik;tidak cyberbullying;
apa kabar corona sudah minggu kami baik baik selepas demo corona ini benaran ada atau gimana;tidak cyberbullying;
apa kabar mbak nana sehat selalu ya ;tidak cyberbullying;
apa nih cantik banget wow tapi bohong;tidak cyberbullying;
apa sahabat anginnya kencang ini peganga nanti jatuh lagi boncengan di motor;tidak cyberbullying;
apa sayangnya aku;tidak cyberbullying;
apa sih susah nya like;tidak cyberbullying;
apa yang ada dipikiran penari latar demi uang aku rela memutus urat malu nya;tidak cyberbullying;
apaan itu anjir;tidak cyberbullying;
apaan kok orang kayak begini;tidak cyberbullying;
apakah ini yang disebut cantik natural;tidak cyberbullying;
apakah kalian merasa sempurna hingga kalian menghina kekeyi;tidak cyberbullying;
apakah kekeyi masih sd;tidak cyberbullying;
apakah masih bisa daftar klj sekarang pak kebetulan saya mau daftarin bapak saya ;tidak cyberbullying;
apalah dayaku yang tidak punya uang;tidak cyberbullying;
apapun gayanya tetap aja cantik;tidak cyberbullying;
ariana grande pun menangis melihat setengah juta komentar di video tiadk jelas;tidak cyberbullying;
artis papan atas dari mana coba ;tidak cyberbullying;
artis papan atas lancar ya jalan di mall gitu;tidak cyberbullying;
artis papan atas sejak kapan bang;tidak cyberbullying;
artis papan atas sensasi doang ngaku artis habis suntik hormon ya jadi sensian terus;tidak cyberbullying;
artis tapi ngutang di mama isa;tidak cyberbullying;
asik;tidak cyberbullying;
asik;tidak cyberbullying;
asik juga ni lagu ya anjay;tidak cyberbullying;
asli muka bokap bokap ini mah;tidak cyberbullying;
assalamualaikum jendral gimana kabarnya dengan yang punya bintang jasa seroja ayahku juga punya lho;tidak cyberbullying;
assalamualaikum ka ricis semoga selalu di berikan kesehatan dan selalu diberikan kesuksesan amin yarobal alamiin bismillahirrahmanirrahim hal hal besar akan datang kepada orang orang yang bersabar;tidak cyberbullying;
assalamualaikum pa anies saya robbie pak salah satu warga bapak saya mau menanyakan ambulance gratis itu syarat apa saja ya karena adik saya harus kontrol ke rscm tapi kendala transportasi nya tolong di jawab dan di bantu ya pak atas perhatian nya saya ucapakan terimakasih banyak pak;tidak cyberbullying;
assalamualaikum pak anies bagaimana caranya atau syarat mendapatkan kartu tersebut;tidak cyberbullying;
assalamualaikum pak anies mohon maaf kjp keluar nya kapan ya  tetangga kanan kiri sudah resah ;tidak cyberbullying;
assalamualaikum pak aniesbaswedan tunda dulu vaksin covid pak apalagi ada rru dendanya saya belum bisa pastikan ruu itu benar atau hoaks cuma udah beredar;tidak cyberbullying;
assalamualaikum pak anis baswedan dinsos dki gimana caranya ngurus untuk bikin kartu lansia pak saya ingin daftarin bapak saya pak saya sudah tanya ke kelurahan katanya belum buka karena covid prosedur nya seperti apa ya pak untuk ngurus klj ;tidak cyberbullying;
assalamualaikum pak kjp gimana pak kasian kita ibu apalagi yang janda pasti sangat membutuhkan info keluar nya belum jelas pak;tidak cyberbullying;
assalamualaikum pak maaf bapak saya sudah pernah mengajukan dan sudah disurvey pernah ada informasi dari kelurahan kalau yang terpilih ada orang di rt saya termasuk bapak saya tapi kok sampai sekarang tidak dapat apa kartu nya pun tidak dapat gimana ya pak cara cek nya;tidak cyberbullying;
assalamualaikum pak menhan merdeka semoga bapak sehat selalu;tidak cyberbullying;
assalamualaikum pak minta tolong bapak saya umur belum pernah dapat dana lansia cara daftarnya pun tidak paham minta tolong bantuannya bapak anis gubernurku;tidak cyberbullying;
assalamualaikum pak prabowo mau nanya nih lebih enak mana ngurus militer indonesia atau pertanian mesti pilih salah satu pak salam nasionalisme pak salam pancasila;tidak cyberbullying;
assalamualaikum pak raffi maaf sebelumnya pak raffi saya ingin ikut bekerja di tempat pak raffi salam dari saya agus dari purbalingga jawa tengah;tidak cyberbullying;
assalamualaikum salam silahturahmi mbak nana walaupun jarak yang memisahkan saya dan keluarga tetap setia nonton siaran mata najwa semoga jaya selalu terbanglah tinggi untuk menjadi indonesia makmur salam kopi hitam mbak;tidak cyberbullying;
assalamualaikum saya mau jawab pertanyaan ka ricis kalau mau nikah sama sepupu itu boleh asalkan sepupunya dari nenek beradik itu setahu saya aja ya maaf kalau salah;tidak cyberbullying;
assalamualaikum sehat selalu ya keluarga rans dan mak beti ;tidak cyberbullying;
assalamualaikum selamat kak juta subscribers nya;tidak cyberbullying;
assalamualaikum teman teman;tidak cyberbullying;
assalamualaikum teman teman pembukaan pertama yang aku lihat di you tube dulu dan opening ciri khas dari ricis official hmm kangen;tidak cyberbullying;
assalamualaikum umi apa kabar;tidak cyberbullying;
assalamualaikum umi ricis bagaimana kabarnya semoga sehat selalu dan dapat salam dari klaten umma;tidak cyberbullying;
assalamualaikum bapak ini berpidato sebagai gubernur tapi rasa nya sudah seperti presiden luar biasa;tidak cyberbullying;
astaga kaget njir;tidak cyberbullying;
astaga ratu;tidak cyberbullying;
astaga sudah banyak di hujat dan malah minta di hujat habis habisan;tidak cyberbullying;
astaga tidak ada malunya ini pentol ;tidak cyberbullying;
astagfirullah ;tidak cyberbullying;
astagfirullah ;tidak cyberbullying;
astagfirullah akhir zaman;tidak cyberbullying;
astagfirullah alladzim;tidak cyberbullying;
astagfirullah islam apa kristen sih tidak tahu malu ya;tidak cyberbullying;
astagfirullah kak;tidak cyberbullying;
astagfirullah tidak mau di hujat tapi seperti minta di hujat ini makhluk;tidak cyberbullying;
aurat kok diumbar umbar;tidak cyberbullying;
auto merinding kalian semua keren;tidak cyberbullying;
auto mewek;tidak cyberbullying;
aw gemasin bisa tidak jangan gemasin kak jadi ingin meluk;tidak cyberbullying;
awas geser nanti;tidak cyberbullying;
awas kemasukan kalajengking sahabat;tidak cyberbullying;
awas nanti bocor di tepok tepok;tidak cyberbullying;
awas razia;tidak cyberbullying;
ayah saya sudah berkali kali di datangi oleh tim dari dinsos kenapa sampai saat ini belum ada kabar untuk kartu lansia tinggal di daerah jalan rt rw no kelurahan penggilingan kecamatan cakung jakarta timur;tidak cyberbullying;
ayah yang baik untuk negara ku indonesia;tidak cyberbullying;
ayo bangun bangsa ku ;tidak cyberbullying;
ayo kak buat penonton makin iri dan terus semangat membuat konten;tidak cyberbullying;
ayo kita bantu mbak kekeyi terkenal jadi mau  sama atau tidak kita dukung orang yang lemah;tidak cyberbullying;
ayo kita sembah kimi;tidak cyberbullying;
ayo pak nikah lagi kayak pak ahok sayang kalo bapak yang hebat tidak ada yang nurunin sifat patriot bapak cari tentara yang cantik pak;tidak cyberbullying;
ayo ramaikan lucu rafatharnya yuk cek youtube ku;tidak cyberbullying;
ayolah key jangan malu maluin diri sendiri foto itu biasa saja senyum saja lebih cantik;tidak cyberbullying;
ayolah pertama trending podcast rafathar dong;tidak cyberbullying;
baca komentar saja deh;tidak cyberbullying;
baca puisi sambil makan gorengan mantap mbak;tidak cyberbullying;
bacalah al qur an setiap hari;tidak cyberbullying;
bacalah surah al kafirun setiap baca al qur an;tidak cyberbullying;
bagaimana cara daftar klj sebenarnya pak ibu saya sampai sekarang belum ada kabarnya padahal sudah pernah ngajuin;tidak cyberbullying;
bagaimana cara mendapat kartu lansia ;tidak cyberbullying;
bagi satu bisa kali tante nana ;tidak cyberbullying;
bagus;tidak cyberbullying;
bagus bibir yang sebelum difiler kalau sekarang malah ga bagus;tidak cyberbullying;
bagus juga itu becak nya;tidak cyberbullying;
bagus juga lagu nya;tidak cyberbullying;
bagus kak cuma kurang bagus di menit sampai;tidak cyberbullying;
bagus kak kalau gini kan cantik walaupun tak tunjukin belahan nya jadi orang tidak nafsuan lihatnya;tidak cyberbullying;
bagus kok lagu nya;tidak cyberbullying;
bagus kok lagunya di cover sama kevin widi malah lebih bagus lagi;tidak cyberbullying;
bagus lagu nya yang belum nonton nonton dong lalu subcribe like komentar dan dibagi;tidak cyberbullying;
bagus nya apaan ini lagu nya;tidak cyberbullying;
bagus sekali kak ricis tim ricis semoga rezekinya bertambah amin;tidak cyberbullying;
bagus sekali lagunya;tidak cyberbullying;
bagus sekali pak anies di awal pandemi saya mencoba menyuarakan tunjangan untuk santri yang berktp dki untuk mendapat tunjangan plus pak bukan untuk kami sebagai santri tapi untuk orang tua kami semoga di momentum hari santri ini seluruh pihak pemerintahan khususnya dki juga melirik warga dki yang melaksanakan kegiatan belajar plus di pesantren hakikatnya kami santri akan kembali ke kampung halaman kami yakni dki terima kasih sudah melakukan progres besar bagi dki kerja bagus gubernur jakarta dan jajaran pemprov dki;tidak cyberbullying;
bagus sekali suaranya saking bagusnya tapi fals dikit di detik dah itu aja;tidak cyberbullying;
bagus sih tapi sedikit ngeselin di menit sampai;tidak cyberbullying;
bagus sih tapi suaranya fales dari;tidak cyberbullying;
bagus suara nya tapi bohong;tidak cyberbullying;
bagus tapi fales di menit;tidak cyberbullying;
bagusan juga dara daripada lu;tidak cyberbullying;
bahagia banget kalau sudah lihat kak ria ricis jadi ketawa senang dan jadi ikut bahagia lihatnya sehat selalu buat kak ricis dan tim;tidak cyberbullying;
bahaya aku ketagihan;tidak cyberbullying;
baiklah suaraku;tidak cyberbullying;
baju kak gigi lucu ;tidak cyberbullying;
baju kodok nya cantik najwashihab;tidak cyberbullying;
baju nya bagus kok;tidak cyberbullying;
baju nya beli dimana mbak najwashihab;tidak cyberbullying;
bajunya bagus mbak jadi ingin cubit yang pakai;tidak cyberbullying;
bajunya dandan nya;tidak cyberbullying;
bajunya kak ricis sama kayak punya saya;tidak cyberbullying;
bakal jadi presiden penyelamat bangsa dan rakyat indonesia di kondisi indonesia yang di hancuri oleh para pemimpin rakus ;tidak cyberbullying;
bakalan seru nih;tidak cyberbullying;
bakalan seru nih ;tidak cyberbullying;
bakar perbaiki bakar perbaiki alhamdulillah pak gubernur tidak marah semangat pak gubernur dan semangat calon presiden;tidak cyberbullying;
bales komentartar ku dong key;tidak cyberbullying;
balik kesini lagi cuma buat ngecek jumlah penonton;tidak cyberbullying;
bang aa ih gantengnya ya allah kak ricis ;tidak cyberbullying;
bang aryeshaku suka pentol ketularan pentol kekeyi;tidak cyberbullying;
bang fatah ganteng;tidak cyberbullying;
bang prabowo macan asia maju terus pantang mundur;tidak cyberbullying;
bang wildannya kemana ya kok tidak pernah lihat;tidak cyberbullying;
bang wildannya mana kok tidak pernah syuting;tidak cyberbullying;
bangga banget sama bapak fokus ke perbaikan untuk kemaslahatan ummat masyaallah tabarakallah ;tidak cyberbullying;
bantu jawab sepupu boleh nikah ya baik dari pihak ayah atau ibu sangat boleh coba lihat cerita kisah sayyidatinah fatimah sayyidah ali bin abi thalib sayyidatinah fatimah itu anaknya rosululloh dan sayyidah ali bin abi thalib sepupunya rasululloh berarti pamannya sayyidatinah fatimah dan mereka menikah;tidak cyberbullying;
bantuan di tempat saya cuma yang kenal dan dekat ke rt saja pak sekalinya ikut dana umkm sampai hari ini tidak ada kabar dapat dana apa tidak nya tolong pak aniesbaswedan dilihat jajaran dibawahnya saya ojol istri saya usaha sepi dan sedang mengandung anak ke anak saya juga tidak dapat kjp susah buat lolos dari kjp;tidak cyberbullying;
bantuan mulu pak baik sekali dah;tidak cyberbullying;
banyak kekurangan tapi kelebihan percaya diri;tidak cyberbullying;
banyak komentar banyak rezeki semangat buat kekeyi;tidak cyberbullying;
banyak ya orang orang yang iri sama kakak sumpah aku pernah ga suka sama konten konten kakak tapi setelah kejadian penghujatan di kolom komentar youtube kakak aku baca sambil nangis kenapa aku benci sama orang yang gak aku kenal yang ga bikin aku negatif yang ga merusak aku aku minta maaf ya kakak kekeyi semangat ya kak kekeyi;tidak cyberbullying;
banyak yang iri sma kekeyi karena mereka cantik tapi tidak bisa apa apain cuma bisa menyusahkan orang tua kekeyi biar jelek tapi banyak rejeki dan pintar cari uang;tidak cyberbullying;
bapak andalanku;tidak cyberbullying;
bapak bersahaja sekali;tidak cyberbullying;
bapak ganteng;tidak cyberbullying;
bapak ganteng sekali;tidak cyberbullying;
bapak gubernur ku ;tidak cyberbullying;
bapak harusnya jadi presiden saja;tidak cyberbullying;
bapak juga sehat selalu ya pak;tidak cyberbullying;
bapak kok gitu sih kan hanya gubernur tapi kok kayak presiden ya allah semoga bapak kelak bisa memimpin bangsaku pintar santun wibawa cerdas dan banyak lagi;tidak cyberbullying;
bapak lebih pantas jadi presiden ri sudah terbaik;tidak cyberbullying;
bapak pribadi yang santun saya tidak heran semua orang menyukai bapak;tidak cyberbullying;
bapak saja yang jadi presiden bagaimana;tidak cyberbullying;
bapak saya rindu sekali dengan bapak;tidak cyberbullying;
bapak saya sayang bapak dan tidak pernah menghianati indonesia;tidak cyberbullying;
bapak saya umur tahun juga tidak dapat sudah nanya rt bilang nya tidak tau;tidak cyberbullying;
bapak sehat selalu pak;tidak cyberbullying;
bapak sehat terus ya pak berkah terus pak mimpin dki nya kutunggu jadi presiden ri nya pak ;tidak cyberbullying;
bapak semoga lancar terus rezekinya dan sehat selalu ;tidak cyberbullying;
bapak semoga sehat selalu;tidak cyberbullying;
bapak sering di tuduh bekerja baik untuk jakarta masih di hujat juga kok bisa nya ramah mengademkan hati seperti ini ;tidak cyberbullying;
bapak terbaik masyaallaah tabarakallah  bangga jadi warga jakarta punya pemimpin seperti bapak ;tidak cyberbullying;
bapak terbaik sehat selalu pak ;tidak cyberbullying;
bapak tergemas;tidak cyberbullying;
baper;tidak cyberbullying;
baper duh;tidak cyberbullying;
barakallah berkah berkah;tidak cyberbullying;
barakallah pak anies smoga jd pemimpin nasional nanti ;tidak cyberbullying;
barakallah pak presiden  semoga selalu diberikan keberkahan dan kesehatan untuk bapak serta jajarannya ;tidak cyberbullying;
barakallahu gagah nya bapak  bismillah sehat terus ;tidak cyberbullying;
barakallahu pak aniesbaswedan alhamdulillah anak kami di pesantren semua doain ya pak jadi anak sholeh berbakti dan kelak bermanfaat bagi banyak orang amin ya rabbalaalamiin;tidak cyberbullying;
baru beberapa menit yang komentar sudah ribuan berbeda dengan yang sebelah bapak selalu menjadi raja tak bermahkota saya bangga sama bapak;tidak cyberbullying;
baru hari minggu tapi aku sudah rindu sampai berjumpa di hari raya rindu kita bertemu jam  malam;tidak cyberbullying;
baru kali ini rada tidak suka sama konten kak ricis;tidak cyberbullying;
baru nongol sudah bebas saja;tidak cyberbullying;
baru nonton video nya penonton nya banyak;tidak cyberbullying;
baru sadar mba nana itu tomboy;tidak cyberbullying;
batalkan perda covid jangan memaksa rakyat buat membeli  menerima vaksin jangan memaksa;tidak cyberbullying;
beda jauh;tidak cyberbullying;
begini saja dia cantik;tidak cyberbullying;
bekerja dalam senyap;tidak cyberbullying;
bekerja dengan hati dan hati hati;tidak cyberbullying;
bekerja tanpa harus menyalahkan warga nya  kamu keren pak;tidak cyberbullying;
belanjain teman nya mulu aku juga mau;tidak cyberbullying;
beliau fokus memperbaiki bekerja dan bekerja lagi sehat terus pak aniesbaswedan ;tidak cyberbullying;
belum mandi aja cantik apalagi sudah mandi;tidak cyberbullying;
belum mandi saja cantik apalagi sudah;tidak cyberbullying;
belum mandi saja cantik apalagi sudah masyaallah;tidak cyberbullying;
belum mandi tapi sudah cantik;tidak cyberbullying;
benar anak yang baik dipuji mak beti alasannya tidak dengar;tidak cyberbullying;
benar itu dimana tempatnya mirip coba aneh padahal banyak perbedaaan kasian kekeyi masih ada kok di youtube tadi aku sudah nonton ternyata keren banget aku suka;tidak cyberbullying;
benar pak anies salam dari kalimantan utara sehat ya pak pemimpin seperti ini yang di nanti rakyat;tidak cyberbullying;
benaran aku tidak tahu siapa orang ini sampai teman teman sering ngomongin ini orang ternyata namanya kekeyi sampai akhirnya aku penasaran dan mampir ke sini mampir juga dong ke rumahku;tidak cyberbullying;
benaran ikut terharu sampai ngga terasa nangis selamat dan semangat semuanya ;tidak cyberbullying;
benarkan bapak tidak kepilih indonesia jadi susah begini ;tidak cyberbullying;
bentar lagi kayak mickel jackson ;tidak cyberbullying;
bentar lg keluar lagu nya judul pentolan haha;tidak cyberbullying;
berapa banyak dosa kekeyi karena telah membohongi banyak orang mengadakan give away palsu pemenangnya tidak pernah di umumin jt;tidak cyberbullying;
berarti kekeyi belum pakai ya;tidak cyberbullying;
berarti tadi yang lewat di belakang ka baim sama ka paula benaran mak beti;tidak cyberbullying;
berasa liburan ke gunung dengar angin nya;tidak cyberbullying;
berasa pemain baru kalau saya lihat video ini;tidak cyberbullying;
berenangnya kapan kak;tidak cyberbullying;
beri dia siraman rohani;tidak cyberbullying;
berisik;tidak cyberbullying;
berisik itu kipas angin apa ya ganggu kualitas videonya;tidak cyberbullying;
berkah selalu pak gubernur aniesbaswedan;tidak cyberbullying;
berkali kali aku mencoba menjadi top komentartar tapi gagal terus kalau berhasil kabarin ya;tidak cyberbullying;
bersyukur key dengan apa yang tuhan kasih diluar sana masih ada yang lebih parah seperti kulit nya kebakar buta dan lain lain;tidak cyberbullying;
bersyukur masih ada pemimpin seperti bapak yang mau mendengarkan aspirasi rakyat;tidak cyberbullying;
bertanggung jawab dan selalu memperhatikan keadaan rakyat kami sayang bapak;tidak cyberbullying;
terus bertanggung jawab dan memperhatikan rakyat kami cinta bapak;tidak cyberbullying;
berwibawa pembawaan tenang dan enak di dengar bismillah pak periode di dki menuju ri  pada ;tidak cyberbullying;
besok kita olahraga bareng lagi ya;tidak cyberbullying;
betul pak semoga dari santri santri akan lahir pemimpin yang selalu berpegang pada al quran;tidak cyberbullying;
biar apa;tidak cyberbullying;
biar apa coba di tepok kak ;tidak cyberbullying;
biar kamu tahu dakyung itu bukan drakor tapi pemeran;tidak cyberbullying;
biasa aja dong mulutnya;tidak cyberbullying;
biasa saja;tidak cyberbullying;
biasanya halo sahabat ;tidak cyberbullying;
biasanya yang duduk disebelah umi ricis;tidak cyberbullying;
bibir atas kayak gitu bibir bawah kayak gimana ya;tidak cyberbullying;
bibirnya ada tindiknya njir;tidak cyberbullying;
bikin band dong rans entertaiment vokalis nya mama gigi drumernya aa raffi pokok nya pemain band nya dari rans entertaiment pasti sukses aa rans band pasti akan menghibur dunia musik indonesia ;tidak cyberbullying;
bikin klarifisikasi dan minta maaf sama sahabat lu sana;tidak cyberbullying;
bikin klj sama kpdj nya seindonesia saja pak;tidak cyberbullying;
bikin konten aneh aneh maksud nya apa biar viral mau panjat sosial sadar kamu sudah malu maluin indonesia ngaca fisik kamu gimana minus kan kelakuan kamu jangan minus juga dong;tidak cyberbullying;
bikin malu kali lu mah;tidak cyberbullying;
bikin tegang ajah deh ah;tidak cyberbullying;
bikin video nya di gunung puncak jayawijaya ya kok suara anginnya kencang sekali sumpah aku lihatnya kok jadi bingung sendiri itu niat bikin video apa tidak sih;tidak cyberbullying;
bikin vlog bareng bang lagi;tidak cyberbullying;
bikin vlog semua bareng kucingnya dong sayang kucing sultan mahal di anggurin soalnya kucingnya lucu ingin lihat kelincahan kucingnya main bareng aa rafathar;tidak cyberbullying;
bilang suka pamer memang ini bukan pamer kalo ngomong ga pernah mikir;tidak cyberbullying;
bisa melihat kerjanya pak aniesbaswedan cuma orang yang punya hati semangat pak;tidak cyberbullying;
bisa ngomong jawa ya kak kimi;tidak cyberbullying;
bismillah hal besar akan datang kepada orang orang yang bersabar ria ricis alasan saya ingin mendapatkan thr dari kak ricis supaya saya bisa meringankan beban orangtua untuk kebutuhan sekolah sehari hari dan sisanya saya tabung untuk persiapan masuk kuliah tahun depan ketika saya mendapat hp saya ingin menggunakan hp tersebut untuk mengerjakan tugas tugas sekolah dan ingin belajar bisnis online semoga saya beruntung amin;tidak cyberbullying;
bohong dosa;tidak cyberbullying;
bokong nya kayak laki gw ;tidak cyberbullying;
boleh bawa hp ke sel ya;tidak cyberbullying;
boleh curhat ini aa raffi kalau boleh sih makasih semoga dibaca dan dapat dikomentar balik ;tidak cyberbullying;
boro boro ratusan juta sehari saja aku uang jajan cuma rb sampai sampai kalau aku ingin beli chatime harus nabung dulu;tidak cyberbullying;
bos besar mantap;tidak cyberbullying;
botak;tidak cyberbullying;
botolnya lebih cantik daripada kekeyi jujur deh;tidak cyberbullying;
bro masih ada ntidak nonton descendants of the sun disini;tidak cyberbullying;
buat apa beli ditempat yang mahal kalau disini murah dan keren keren;tidak cyberbullying;
buat apa minum obat buat bb sih tinggal makan saja yang banyak saat siang hari habis makan tidur gitu saja terus sampai gendut;tidak cyberbullying;
buat konten squishy lagi dong;tidak cyberbullying;
buat mas mba nya yang sudah bantuin bikin video tapi tidak di hargai malah di hianati sabar mas mba;tidak cyberbullying;
buat pak gubernur ganteng baik hati sholeh dan tidak sombong ;tidak cyberbullying;
buat yang nanya kenapa kesel sama kekeyi kekeyi salah apa nih ya kita bukan benci fisik nya kita benci tingkah laku nya aja pertama teman nya sudah capek bantuin dia buat lagu pertama nya cuman dibayar ribu aja kedua kata temannya sendiri tukang becak yang jadi salah satu orng yang bantu lagu kekeyi di bilang jelek sama kekeyi dan ketiga dia tahu kalau hal itu bikin emosi netizen terpancing dan dia ngebuat emosi netizen terpancing dan jadi ngehujat dia masih banyak tapi kepanjangan kalau sebutin itu alasan sebagian besar haters kenapa ga suka sama kekeyi atau kesel sama kekeyi;tidak cyberbullying;
buka mata lihat dirimu;tidak cyberbullying;
buka videonya lihat komentar siapa yang komentar dan like ;tidak cyberbullying;
buka youtube mau nonton apa eh malah nyangkut disini;tidak cyberbullying;
bukan gitu megang sumpitnya kaka kekeyi sayang;tidak cyberbullying;
bukan mau hujat tapi masa sih sudah m subscribers sudah dapat duit banyak tapi tidak tahu gimana cara bikin video yang benar dulu waktu jaman masih polos videonya malah bagus dengar suara ayam;tidak cyberbullying;
bukan sahabatkekeyi;tidak cyberbullying;
bukan video kekeyi yang buat saya geleng tapi para juri baku hantam dikolom komentar;tidak cyberbullying;
bukannya benci cuma mbak kekeyi ini tahu bangat apa yang bisa mengundang respon netizen;tidak cyberbullying;
bukannya nama aslinya han so hee da kyung kan nama dia di drama wom dah terserah;tidak cyberbullying;
bulan dirumah aja aku jadi lupa gimana caranya jalan dibawah sinar matahari sudah terlalu lama ada dibawah sinar kamar yang remang;tidak cyberbullying;
bulan dirumah aja lupa kalau aku jomblo;tidak cyberbullying;
bulan lahirnya kakak yang baju kuning sama kayak aku tapi kalau aku juni;tidak cyberbullying;
bunda;tidak cyberbullying;
burungnya bagus;tidak cyberbullying;
buset dah baru upload video jam yang lalu yang suka ribuan itu bagaimana ceritanya pusing dah saya;tidak cyberbullying;
buset kencang sekali suara nya mana aku pakai earphone lagi tapi tidak apa apa senang aku lihat dia tertawa;tidak cyberbullying;
buset penontonnya tidak sama kayak biaya buat videonya;tidak cyberbullying;
buzzer bayaran pasti lagi bingung mau nulis btw mantap pak anies;tidak cyberbullying;
cadar nya kok buka tutup ya kadang di pakai kadang tidak dan waktu pakai cadar pun masih lari sana lari sini teriaknya besar lagi masyaallah ya kamu;tidak cyberbullying;
cakep banget;tidak cyberbullying;
cakep banget pak semoga allah menakdirkan pak anis jadi presiden indonesia ke depan;tidak cyberbullying;
cakep banget sih kak;tidak cyberbullying;
cakep banget sih kak nana;tidak cyberbullying;
cakep banget sih mbanana;tidak cyberbullying;
cakep kak sepatunya juga cakep;tidak cyberbullying;
calon host pengganti papa raffi ya aa udah kelihatan bakatnya;tidak cyberbullying;
calon presiden;tidak cyberbullying;
calon presiden indonesia  insya allah ;tidak cyberbullying;
calon presidenku nih;tidak cyberbullying;
cantik sekali sis;tidak cyberbullying;
cantik uh;tidak cyberbullying;
cantiknya bikin pangling;tidak cyberbullying;
aduh makin cantik saja;tidak cyberbullying;
cantik panutan;tidak cyberbullying;
cantik nya;tidak cyberbullying;
cantik;tidak cyberbullying;
cantik banget astaga;tidak cyberbullying;
cantik banget sih wanita sesungguh nya;tidak cyberbullying;
cantik banget ini mah;tidak cyberbullying;
cantik banget wah;tidak cyberbullying;
uh cantik banget ;tidak cyberbullying;
cantik banget bikin pangling;tidak cyberbullying;
cantik banget calon ibu mertuaku;tidak cyberbullying;
cantik banget ih;tidak cyberbullying;
cantik banget kak;tidak cyberbullying;
cantik banget kak najwashihab ;tidak cyberbullying;
cantik banget kakak bidadari satu ini;tidak cyberbullying;
cantik banget kamu key;tidak cyberbullying;
cantik banget key astaga meleleh;tidak cyberbullying;
cantik banget masyaallah;tidak cyberbullying;
cantik banget mba nana;tidak cyberbullying;
cantik banget mba nana serius;tidak cyberbullying;
cantik banget mba nana gemas;tidak cyberbullying;
cantik banget mbak nana najwa;tidak cyberbullying;
cantik banget sahabat kayak shiren;tidak cyberbullying;
cantik banget sayang;tidak cyberbullying;
cantik banget senyumnya meleleh aku;tidak cyberbullying;
cantik banget sih;tidak cyberbullying;
cantik banget sih kak;tidak cyberbullying;
cantik banget sih sahabat;tidak cyberbullying;
